id,name,type,sex,age,party,representation,position,state
MIBRAG,Braunkohle Unternehmen MIBRAG,1,99,0,7,99,99,99
MichaelKreuzberg,Michael Kreuzberg,0,1,4,1,5,2,2
MichaelVassiliadis,Michael Vassiliadis,0,1,3,2,3,2,2
MIT,Mittelstands und Wirtschaftsvereinigung,1,99,0,7,99,99,99
MPIB,Max Planck Institut fuer Bildungsforschung,1,99,0,7,99,99,99
MPIM,Max Planck Institut fuer Mikrostrukturphysik,1,99,0,7,99,99,99
Naturfreunde,Naturfreunde Deutschlands,1,99,0,7,99,99,99
NaturparkRheinland,Naturpark Rheinland,1,99,0,7,99,99,99
NeuesForum,Neues Forum,1,99,0,7,99,99,99
OekoInstitut,Oeko Institut,1,99,0,7,99,99,99
PBNE,Parlamentarischer Beirat fuer Nachhaltige Entwicklung,1,99,0,7,99,99,99
PIK,Potsdam Institut fuer Klimafolgenforschung,1,99,0,7,99,99,1
PKM,Parlamentskreis Mittelstand,1,99,0,7,99,99,99
RalfWehrspohn,Ralf Wehrspohn,0,1,2,7,6,2,8
ReinerPriggen,Reiner Priggen,0,1,4,3,5,2,2
RKK,Rat des Kreises Kamenz,1,99,0,7,99,99,99
RNE,Rat fuer Nachhaltige Entwicklung,1,99,0,7,99,99,99
RonaldPofalla,Ronald Pofalla,0,1,4,1,1,1,2
SD,Stadtentwaesserung Dresden GmbH,1,99,0,7,99,99,3
SM,SmartMembranes GmbH,1,99,0,7,99,99,99
SNV,Stiftung Neue Verantwortung,1,99,0,7,99,99,99
SPD,SPD,1,99,0,2,99,99,99
SprembergerTuche,Spremberger Tuche GmbH,1,99,0,7,99,99,99
SRC,Stockholm Resilience Centre,1,99,0,7,99,99,99
StanislawTillich,Stanislaw Tillich,0,1,4,1,1,1,3
StefanKapferer,Stefan Kapferer,0,1,3,4,2,2,5
StefanKeorzel,Stefan Keorzel,0,1,3,2,3,2,6
SteffenKampeter,Steffen Kampeter,0,1,3,1,2,2,2
StiftungsratderKulturstiftung,Stiftungsrat der Kulturstiftung,1,99,0,7,99,99,99
Telekom,Deutsche Telekom AG,1,99,0,7,99,99,99
Tierschutzpartei,Tierschutzpartei,1,99,0,5,99,99,99
UniKiel,Uni Kiel,1,99,0,7,99,99,8
VDW,Vereinigung Deutscher Wissenschaftler,1,99,0,7,99,99,99
VerbandkommunalerUnternehmen,Verband kommunaler Unternehmen,1,99,0,7,99,99,99
WBGU,Wissenschaftlicher Beirat der Bundesregierung fuer Globale Umweltveraenderungen,1,99,0,7,99,99,99
WuppertalerStadtwerke,Wuppertaler Stadtwerke GmbH,1,99,0,7,99,99,2
WZB,Wissenschaftszentrum Berlin fuer Sozialforschung,1,99,0,7,99,99,10
ZDF,ZDF Verwaltungsrat,1,99,0,7,99,99,99
ZRR,Zukunftsagentur Rheinisches Revier,1,99,0,7,99,99,99
