id,name,type,sex,age,party,representation,position,state
BonnerAkademieForschungLehre,Bonner Akademie fuer Forschung und Lehre praktischer Politik,1,99,99,99,99,99,2
InitiativkreisRuhr,InitiativkreisRuhr,1,99,99,99,99,99,99
CSRForumBundesreg,CSR Forum der Bundesregierung,1,99,99,99,99,99,99
CAREDeutschland,CARE Deutschland,1,99,99,99,99,99,99
WuppertalerStadtwerkeGmbH,Wuppertaler Stadtwerke GmbH,1,99,99,99,99,99,2
AgenturArbeit,Agentur fuer Arbeit,1,99,99,99,99,99,99
AOKHessen,AOK Hessen,1,99,99,99,99,99,6
DeutscheRentenversicherung,Deutsche Rentenversicherung,1,99,99,99,99,99,99
HessischerRundfunk,Hessischer Rundfunk,1,99,99,99,99,99,6
Greenpeace,Greenpeace,1,99,99,99,99,99,99
StiftungOekologieLandbau,Stiftung Oekologie und Landbau,1,99,99,99,99,99,99
BayerischeAkademieLR,Bayerische Akademie laendlicher Raum,1,99,99,99,99,99,4
BayerischesStaatsminUGV,Bayerisches Staatsministerium fuer Umwelt Gesundheit und Verbraucherschutz,1,99,99,99,99,99,4
VereinigungDeutscherWissenschaftler,Vereinigung Deutscher Wissenschaftler,1,99,99,99,99,99,99
DeutscheBundesstiftungUmwelt,Deutsche Bundesstiftung Umwelt,1,99,99,99,99,99,99
MaxPlanckInstitutBildungsforsch,Max Planck Institut fuer Bildungsforschung,1,99,99,99,99,99,99
InstitutArbeitsmarktBerufsforsch,Institut fuer Arbeitsmarkt und Berufsforschung,1,99,99,99,99,99,99
FreieUniBerlin,Freie Universitaet Berlin,1,99,99,99,99,99,10
EnqueteKommissionNE,Enquete Kommission Nachhaltige Energieversorgung unter den Bedingungen der Globalisierung und Liberalisierung,1,99,99,99,99,99,99
PotsdamInstitutKlimafolgenforsch,Potsdam Institut fuer Klimafolgenforschung,1,99,99,99,99,99,1
StockholmRC,Stockholm Resilience Centre,1,99,99,99,99,99,99
UniPotsdam,Universitaet Potsdam,1,99,99,99,99,99,1
BundesregGlobaleUmweltveraenderungen,Bundesregierung fuer Globale Umweltveraenderungen,1,99,99,99,99,99,99
WeltklimaratIPCC,Weltklimarat IPCC,1,99,99,99,99,99,99
HamburgischesWWArchiv,Hamburgisches Welt Wirtschafts Archiv,1,99,99,99,99,99,99
MartinLutherUniHW,Martin Luther Universitaet Halle Wittenberg,1,99,99,99,99,99,99
MaxPlanckInstitutMikrostrukturphysik,Max Planck Institut fuer Mikrostrukturphysik,1,99,99,99,99,99,99
ZukunftsstiftungSachsenAnhalt,Zukunftsstiftung des Landes Sachsen Anhalt,1,99,99,99,99,99,3
FrauenhoferSiliziumphotovoltaik,Frauenhofer Center fuer Siliziumphotovoltaik,1,99,99,99,99,99,99
SmartMembranesGmbH,Smart Membranes GmbH,1,99,99,99,99,99,99
FrauenhoferPilotanlagenzentrum,Frauenhofer Pilotanlagenzentrum fuer Polymerverarbeitung,1,99,99,99,99,99,99
FrauenhoferGesellschaft,Frauenhofer Gesellschaft,1,99,99,99,99,99,99
SaechsischesStaatsminWirtschaftArbeitVerkehr,SaechsischesStaatsministerium fuer Wirtschaft Arbeit und Verkehr,1,99,99,99,99,99,3
WirtschaftsfoerdSachsenGmbH,Wirtschaftsfoerderung Sachsen GmbH,1,99,99,99,99,99,3
MittelstandsWirtschaftsvereinigung,Mittelstands und Wirtschaftsvereinigung,1,99,99,99,99,99,99
JungeUnion,Junge Union,1,99,99,99,99,99,99
EuropaUnionDeutschland,Europa Union Deutschland,1,99,99,99,99,99,99
AusschussUmweltNaturschutzReaktorsicherheit,Ausschuss fuer Umwelt Naturschutz und Reaktorsicherheit,1,99,99,99,99,99,99
